region,x_final_say_women,x_wifebeating_justified_women,x_no_land_women,x_women_no_education,x_women_secondary_plus,x_women_literate,x_women_cannot_read,x_ipv_any,x_own_decision_all3,m_skilled_delivery,y_asfr_15_19,m_modern_cpr_married,m_fp_demand_satisfied_modern,y_women_any_anemia,y_children_any_anemia,y_u5mr,y_nmr,y_imr,m_ever_hiv_test,m_anc_hiv_test,m_hiv_mtct_knowledge_women,ctx_total_pop,ctx_n_districts,ctx_illiteracy_rate,ctx_uninsured_rate,ctx_poverty_incidence,ctx_female_15_64_share,belt,x_final_say_women_z,x_wifebeating_justified_women_z,x_no_land_women_z,x_women_no_education_z,x_women_secondary_plus_z,x_women_literate_z,x_women_cannot_read_z,x_ipv_any_z,x_own_decision_all3_z,m_skilled_delivery_z,y_asfr_15_19_z,m_modern_cpr_married_z,m_fp_demand_satisfied_modern_z,y_women_any_anemia_z,y_children_any_anemia_z,y_u5mr_z,y_nmr_z,y_imr_z,m_ever_hiv_test_z,m_anc_hiv_test_z,m_hiv_mtct_knowledge_women_z,ctx_illiteracy_rate_z,ctx_uninsured_rate_z,ctx_poverty_incidence_z,ctx_female_15_64_share_z,gei,gei_z,human_capital_z,service_index,service_index_z
Ahafo,45.2,22.8,84.0,17.5,70.7,48.3,51.7,38.5,37.4,93.4,60.0,35.8,53.5,35.6,35.4,29.0,13.0,17.0,57.4,71.3,79.6,564668.0,6.0,26.755899041560703,21.85815381781861,24.718009343543468,29.706836583620817,Middle,-0.7109685212410813,-0.1211850303291596,-0.3856468215400612,-0.2884679705644681,0.4642320985836386,-0.3556856019597015,0.3841644918880743,1.2355427814094722,-1.026614585260168,0.759098128920211,-0.3757363789117429,1.273790206756941,0.895070083586699,-1.1563522467588672,-1.3528616950770498,-1.3483604676811158,-0.8695700807178465,-1.4425524947002812,0.3660337293518099,-0.0028409542467151,1.0476931952068247,-0.4592105392619822,-0.7026291234471197,-0.4631024638329474,-0.0532235126693952,-0.4932588072083002,-0.803925452273978,0.4642320985836386,0.975986139754617,1.1534311637626367
Ashanti,55.2,16.0,88.0,9.0,79.8,61.5,38.3,24.1,47.8,93.6,62.0,32.1,47.7,37.5,40.6,45.0,23.0,34.0,62.9,76.0,75.7,5440427.0,43.0,18.837969887290097,28.01655090675787,18.18330355319537,31.363310269579944,Middle,0.2176434248697187,-0.5870836628313703,0.434333131236145,-0.8019711642394378,0.9894239676883606,0.5117601155216942,-0.4986315109072441,-0.7805270262161822,-0.1052086144549255,0.783196482219264,-0.2898537780176303,0.6968324390445397,0.0619456727858405,-0.810016204379857,-0.9044230774260118,0.0159884640436495,0.4682300434634557,0.452975421041151,0.9474591478167792,0.3023587019718071,0.7472517642283976,-1.0910265290953858,-0.0782179104509729,-1.0515122969073638,0.8462514338172791,0.20914247364524013,0.340865596838589,0.9894239676883606,0.5139915313498814,0.6074408498445367
Bono,71.3,17.2,85.2,11.8,77.4,61.5,38.1,18.3,61.7,91.3,36.0,28.3,45.4,30.1,40.1,36.0,13.0,24.0,54.5,80.8,77.8,1208649.0,12.0,24.431162397023453,14.205695780991835,17.067288518006468,31.22395335618529,Middle,1.7127086581081064,-0.5048662570956861,-0.1396528357071988,-0.6328171710288595,0.8509118263860168,0.5117601155216942,-0.5118075706504576,-1.5925551431765153,1.1262859042174664,0.5060654192801401,-1.4063275896410952,0.1042812181507212,-0.2684312487386386,-2.1589039483823185,-0.9475421752770732,-0.751457810051531,-0.8695700807178465,-0.6620409999832209,0.0594639632520991,0.6140519678971061,0.9090279193706274,-0.6447143187922744,-1.4785259251910523,-1.152002547215796,0.7705798108505518,1.0152137596609947,1.6546205946315158,0.8509118263860168,0.11397179623074093,0.1346931234039786
Bono East,57.4,19.0,92.8,24.0,57.8,44.9,54.7,24.6,50.9,87.6,92.0,20.7,40.0,40.3,51.4,48.0,24.0,36.0,53.1,62.5,63.6,1203400.0,11.0,36.37045039056008,21.34626890476982,24.125715223533323,29.18638856573043,Middle,0.4219380530140944,-0.3815401484921597,1.418309074567592,0.1042109422458027,-0.2802706609164626,-0.5791185897958185,0.5818053880362799,-0.7105246023402914,0.1694412422274065,0.0602458832476356,0.99838523539406,-1.0808212236369157,-1.0440988036221963,-0.2996262471897368,0.0269494361569127,0.2718038887420431,0.602010055881586,0.6759787052460254,-0.0885352341753474,-0.5742786084430969,-0.1848870344482631,0.3079884541889408,-0.7545300767073904,-0.5164348854395769,-0.3358298450301756,0.053026994301272,0.08642471204447674,-0.2802706609164626,-0.6882247146704922,-0.8133515438776389
Central,56.9,19.3,83.6,7.4,76.6,72.9,26.9,34.8,59.4,85.0,60.0,34.5,47.9,44.4,44.7,46.0,14.0,34.0,57.4,76.7,69.9,2857261.0,22.0,21.25493610839192,41.93092615620344,22.50261974667348,31.27831164181361,Coastal/South,0.3755074557085544,-0.3609857970582386,-0.467644816817683,-0.8986305889311967,0.8047411126185681,1.2609177806192635,-1.249666916270425,0.71752484472788,0.9225134299047684,-0.2530327096400692,-0.3757363789117429,1.07107531539853,0.0906741007444902,0.4477304758386545,-0.5508464750473088,0.1012602722764474,-0.7357900682997163,0.452975421041151,0.3660337293518099,0.3478139699192468,0.3004414309784282,-0.898163234207769,1.3325862001177344,-0.6625845927475268,0.8000966794075843,0.28182533095227286,0.4593259224916208,0.8047411126185681,0.302905568834317,0.3579771356779626
Eastern,43.2,7.5,86.5,7.8,75.5,66.7,33.2,27.0,42.1,90.3,65.0,28.6,45.6,37.5,38.3,42.0,15.0,26.0,66.2,78.8,74.0,2925653.0,33.0,21.000850066634698,26.412257366133304,21.61311091916916,31.15089178381715,Middle,-0.8966909104632413,-1.1694569534591337,0.1268406489450676,-0.874465732758257,0.7412563811883272,0.8534811557416381,-0.8346210343591931,-0.3745129677360158,-0.6102099638385677,0.3855736527848687,-0.1610298766764612,0.1510615776949701,-0.2397028207799878,-0.810016204379857,-1.1027709275408943,-0.2398269606547439,-0.602010055881586,-0.4390377157783464,1.296314398895761,0.4841797737615648,0.6162901148275441,-0.918438184999556,-0.2408801846168325,-0.7426793602094537,0.7309069476755395,-0.017954320410345493,-0.029262397234934404,0.7412563811883272,0.09897746989995038,0.11697266348647527
Greater Accra,68.9,5.8,94.2,4.4,84.6,79.2,20.5,24.0,69.0,94.0,39.0,23.8,41.0,38.8,36.2,20.0,10.0,16.0,62.1,88.4,78.7,5445135.0,29.0,10.564531457897738,39.62509653112365,11.6732502499938,33.92319933298256,Coastal/South,1.4898417910415152,-1.2859316115846862,1.7053020580392653,-1.079867010228245,1.2664482502930492,1.6749259639626566,-1.6713008280532635,-0.7945275109913605,1.773042018340377,0.8313931888173732,-1.277503688299926,-0.597424175013011,-0.9004566638289451,-0.5730494385415872,-1.2838711385153514,-2.1158067417762965,-1.270910117972237,-1.5540541368027183,0.8628881778582385,1.1075663056121638,0.9783605572887266,-1.751210598533904,1.0987938914430573,-1.6377023260132246,2.236286239581593,0.7276081747837347,1.1858738707613976,1.2664482502930492,-0.2221625500081943,-0.26255414719808745
North East,42.5,34.4,90.5,55.1,33.2,27.2,72.0,25.6,28.5,85.2,121.0,14.9,37.7,45.0,64.9,41.0,11.0,20.0,38.9,52.3,42.6,658946.0,6.0,50.8208563372416,24.548445547890115,48.13558136782074,26.907971214636703,Northern,-0.9616937466909976,0.6735832251157877,0.946820601721274,1.9830285096918685,-1.700020109265492,-1.7422844382367806,1.721534555824265,-0.5705197545885098,-1.8151254641223469,-0.2289343563410145,2.243682948358693,-1.9852415081590595,-1.3744757251466748,0.5570997523793949,1.1911650781355692,-0.3250987688875418,-1.137130105554107,-1.1080475683929696,-1.5896699509394498,-1.2366267985343578,-1.8026485858705663,1.4610674169847546,-0.429855494493487,1.6455050370839548,-1.573023856815948,-0.7653406566123792,-1.2473712065944773,-1.7000201092654919,-1.1962171965489163,-1.4137026510183786
Northern,49.7,47.0,86.3,53.4,37.8,34.1,65.9,36.7,40.1,71.6,73.0,17.2,36.6,48.4,69.4,52.0,15.0,25.0,39.6,46.9,45.0,2303508.0,16.0,46.57761119127869,35.25488081656326,38.36574620101168,27.462461602043494,Northern,-0.2930931454912213,1.5368659853404725,0.0858416513062567,1.880327870956874,-1.4345385051026656,-1.2888469040987782,1.3196647336562477,0.9835340554562658,-0.7874034197626528,-1.8676223806767065,0.1825005268999894,-1.6265920849864852,-1.5324820789192517,1.1768589861102554,1.5792369587951212,0.6128911216732346,-0.602010055881586,-0.5505393578807837,-1.5156703522257262,-1.5872817227003193,-1.6177615514223034,1.1224750805584625,0.6556896784515731,0.7657918159994513,-1.271932317742502,-0.7373476514713737,-1.2017475117113423,-1.4345385051026656,-1.6755655148608144,-1.9802017703369836
Oti,47.9,24.1,91.9,28.2,48.9,40.8,57.8,32.3,50.5,70.3,73.0,28.5,49.4,51.8,60.6,72.0,32.0,44.0,57.5,72.5,56.1,747248.0,9.0,40.78284585572661,47.71093398711004,40.75219873455667,27.59298117893925,Middle,-0.4602432957911657,-0.0321161741155016,1.2338135851929473,0.3579419320616701,-0.7939198515793228,-0.8485524868923127,0.7860343140560919,0.3675127253484261,0.1340025510425896,-2.024261677120559,0.1825005268999894,0.1354681245135536,0.3061373104343675,1.796618219841116,0.8203408366164414,2.3183272863291915,1.6722501552266278,1.567991842065523,0.3766051005966277,0.0750823622346098,-0.7626590170990858,0.6600782435825447,1.9186318299628309,0.9806771041752828,-1.2010594204312484,-0.37909017623488955,-0.6178505825513975,-0.7939198515793228,-0.5275520807242126,-0.6234668563716668
Savannah,38.1,57.8,83.9,46.9,31.8,30.9,68.4,46.9,39.1,72.0,116.0,19.1,42.7,43.2,62.8,63.0,32.0,46.0,31.3,32.8,39.4,653277.0,7.0,53.627634219481166,36.29011889290455,49.43222017612744,27.33097904870369,Northern,-1.3702830029797497,2.2768226369616302,-0.4061463203594652,1.4876489581466033,-1.780818858358526,-1.4991367750033593,1.4843654804464186,2.411583502524437,-0.8760001477246954,-1.8194256740785968,2.028976446123412,-1.330316474539576,-0.6562650261804172,0.2289919227571749,1.010064867161111,1.5508810122340109,1.6722501552266278,1.7909951262703974,-2.393094165545589,-2.5028806913558856,-2.0491646318015846,1.685035971307221,0.7606543719672043,1.7622593408324807,-1.343328116922236,-1.3057085939662096,-2.1280762889633027,-1.780818858358526,-1.2686690582661968,-1.4993270587567336
Upper East,63.3,21.2,81.5,25.9,56.8,55.2,44.7,29.5,52.5,98.0,70.0,30.9,57.9,47.0,69.3,49.0,27.0,36.0,51.5,70.3,72.4,1301226.0,15.0,43.78739742366046,13.544534154712556,42.94046683666019,29.177022285137248,Northern,0.9698191012194664,-0.2308082379767387,-0.8981342920251901,0.2189940090672664,-0.3379840531257727,0.097751932178301,-0.0769975991244052,-0.0245008483565618,0.3111960069666747,1.3133602547984586,0.0536766255588204,0.509711000867544,1.5270954986770056,0.9216640075151954,1.5706131392249083,0.357075696974841,1.003350093135977,0.6759787052460254,-0.2576771740924295,-0.0677770513144858,0.4930320918620358,0.8998282698726574,-1.5455623190918326,1.1777171102582824,-0.3409157904374232,0.4868916973089264,0.7935481784559938,-0.3379840531257727,1.1167222514476693,1.3197546498055417
Upper West,39.3,48.4,76.1,34.6,47.2,51.0,48.6,22.2,40.8,91.7,57.0,33.8,61.9,46.3,61.2,42.0,16.0,25.0,49.6,70.0,61.7,901502.0,11.0,45.15430914185437,16.11066863967024,37.2170834895541,29.29721731066597,Northern,-1.258849569446454,1.6327862920321037,-2.00510722827307,0.7445796308287062,-0.8920326183351498,-0.1782535233839614,0.1799355658682618,-1.0465362369445674,-0.7253857101892234,0.5542621258782494,-0.504560280252912,0.9619211431286157,2.1016640578500114,0.7940665182176647,0.8720837540377152,-0.2398269606547439,-0.4682300434634557,-0.5505393578807837,-0.4585332277439641,-0.0872578804348168,-0.3312559367198047,1.0089018247654482,-1.2853772216836925,0.6623618443998334,-0.2756491851953263,-0.11307562129002871,-0.18429345539969094,-0.8920326183351498,1.2059491089522922,1.4252039322270273
Volta,56.8,12.7,87.7,6.7,76.4,72.0,26.3,36.3,54.5,93.5,44.0,29.3,46.0,43.0,51.3,47.0,29.0,38.0,61.4,88.9,69.8,1659040.0,18.0,25.12501205516444,32.0040505352493,27.25481633956987,31.391105699681745,Coastal/South,0.3662213362474463,-0.813181528604502,0.3728346347779301,-0.9409190872338414,0.7931984341767067,1.2017737544273497,-1.289195095500066,0.9275321163555524,0.4883894628907598,0.7711473055697375,-1.0627971860646444,0.2602157499648839,-0.1822459648626874,0.1925354972435943,0.0183256165867003,0.1865320805092452,1.270910117972237,0.8989819894508999,0.7888885791445148,1.1400343541460491,0.2927378045430832,-0.5893481618069638,0.3260820143330058,-0.2346786863954641,0.8613445157148735,0.0734851153218451,0.11976786568672809,0.7931984341767067,0.283039030223978,0.3344986416544513
Western,68.9,12.6,84.2,9.7,76.9,65.4,34.6,28.2,69.0,86.8,76.0,35.5,56.1,45.9,46.1,48.0,25.0,36.0,61.1,85.4,73.0,2060585.0,14.0,23.45950300521454,36.24247483117659,25.565634467881694,30.38316788678943,Coastal/South,1.4898417910415152,-0.8200329790824756,-0.3446478239012503,-0.7596826659367932,0.8220551302813617,0.7680508956866523,-0.7423886161566974,-0.206507150433878,1.773042018340377,-0.036147529948581,0.3113244282411584,1.227009847212693,1.2685396470491532,0.7211536671905049,-0.4301130010643371,0.2718038887420431,0.7357900682997163,0.6759787052460254,0.7571744654100622,0.9127580144088516,0.5392538504741011,-0.7222484730459221,0.7558236528781327,-0.386779064750742,0.3140283597155316,0.9268143525598992,1.5105450458608505,0.8220551302813617,0.8198006547710882,0.9688494382960469
Western North,41.1,27.3,77.7,14.0,71.1,47.8,52.2,25.8,40.5,89.3,56.0,29.1,46.9,36.3,45.1,37.0,13.0,22.0,58.5,87.9,76.7,880921.0,9.0,31.62076962633426,25.50682751347737,28.23037094132164,29.50185090377003,Coastal/South,-1.0916994191465097,0.1871302411796562,-1.6771152471625854,-0.4999104620776909,0.4873174554673622,-0.3885433942885423,0.4171046412461086,-0.5425187850381535,-0.7519647285778359,0.2650818862895974,-0.5475015806999683,0.2290288436020515,-0.0529680390487612,-1.0287547574613378,-0.5163511967664598,-0.6661860018187331,-0.8695700807178465,-0.8850442841880952,0.4823188130448039,1.0750982570782783,0.8242880285818406,-0.0710152215162703,-0.332683383471162,-0.1468360292371897,-0.1645319415186958,0.03776792865934746,0.06155510795795072,0.4873174554673622,0.14704756361429586,0.17378242940083208
